station;lib;eu_cd;num_prel;dateprel;profondeur;zone;libzone;codeparam;libparam;codesupport;libsupport;codefraction;libfraction;resultat;unite;libunite;remarque;code_reseau;nom_reseau;code_preleveur;nom_preleveur;code_laboratoire;nom_laboratoire
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1340;Nitrates;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);2.7;173;milligramme de nitrate par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1340;Nitrates;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);2.6;173;milligramme de nitrate par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1342;Silicates;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);1.5;273;milligramme de silice par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1342;Silicates;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);1.6;273;milligramme de silice par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1345;Dureté totale;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);14.9;28;degré français;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1346;Titre alcalimétrique (T.A.);3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.63;28;degré français;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1347;Titre alcalimétrique complet (T.A.C.);3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);13.3;28;degré français;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1361;Uranium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;421;microgramme d'uranium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1361;Uranium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;421;microgramme d'uranium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1361;Uranium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;421;microgramme d'uranium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1364;Lithium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);1.0;474;microgramme de lithium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1364;Lithium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);1.0;474;microgramme de lithium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1364;Lithium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);1.0;474;microgramme de lithium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1367;Potassium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.93;162;milligramme par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1368;Argent;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.01;276;microgramme d'argent par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1368;Argent;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.01;276;microgramme d'argent par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1368;Argent;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.01;276;microgramme d'argent par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1369;Arsenic;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.6;280;microgramme d'arsenic par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1369;Arsenic;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.6;280;microgramme d'arsenic par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1369;Arsenic;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.6;280;microgramme d'arsenic par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1370;Aluminium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);10.0;278;microgramme d'aluminium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1370;Aluminium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);9.0;278;microgramme d'aluminium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1370;Aluminium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);11.0;278;microgramme d'aluminium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1372;Magnésium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);4.7;162;milligramme par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1373;Titane;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);1.0;388;microgramme de titane par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1373;Titane;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);1.0;388;microgramme de titane par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1373;Titane;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);1.0;388;microgramme de titane par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1374;Calcium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);52.0;162;milligramme par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1375;Sodium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);3.0;162;milligramme par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1376;Antimoine;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.1;330;microgramme d'antimoine par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1376;Antimoine;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.1;330;microgramme d'antimoine par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1376;Antimoine;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.1;330;microgramme d'antimoine par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1377;Béryllium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.01;286;microgramme de béryllium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1377;Béryllium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.01;286;microgramme de béryllium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1377;Béryllium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.01;286;microgramme de béryllium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1379;Cobalt;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.2;299;microgramme de cobalt par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1379;Cobalt;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.2;299;microgramme de cobalt par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1379;Cobalt;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.2;299;microgramme de cobalt par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1380;Etain;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;338;microgramme d'étain par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1380;Etain;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;338;microgramme d'étain par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1380;Etain;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;338;microgramme d'étain par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1382;Plomb;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.05;335;microgramme de plomb par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1382;Plomb;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.05;335;microgramme de plomb par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1382;Plomb;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.12;335;microgramme de plomb par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1383;Zinc;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);2.0;349;microgramme de zinc par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1383;Zinc;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);2.0;349;microgramme de zinc par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1383;Zinc;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);4.0;349;microgramme de zinc par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1384;Vanadium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;347;microgramme de vanadium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1384;Vanadium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;347;microgramme de vanadium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1384;Vanadium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.5;347;microgramme de vanadium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1385;Sélénium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.2;333;microgramme de sélénium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1385;Sélénium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.2;333;microgramme de sélénium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1385;Sélénium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.2;333;microgramme de sélénium par litre;10;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
